# List of standard transcriptions of foreign names in to Chinese
# Data collected from http://www.chinese-tools.com/names 2010-02-07
# Name	Hanzi	Pinyin
Genoveva	赫诺维瓦	Hè nuò wéi wǎ
Gentil	剑提	Jiàn tí
Geny	杰妮	Jié nī
Geoffrey	乔弗瑞	Qiáo fú ruì
Geoffroy	乔弗瓦	Qiáo fú wǎ
Geofredo	赫奥弗雷多	Hè ào fú léi duō
Georg	格奥尔戈	Gé ào ěr gē
George	乔治	Qiáo zhì
Georges	乔治斯	Qiáo zhì sī
Georgette	乔治特	Qiáo zhì té
Georgia	乔治亚	Qiáo zhì yà
Georgianne	乔吉安	Qiáo Jí ān
Georgina	乔姬娜	Qiáo jī nà
Georgine	乔尔妗	Qiáo ěr jìn
Geovana	乔瓦纳	Qiáo wǎ nà
Gérald	杰拉尔德	Jié lā ěr dé
Géraldine	热拉尔丁	Rè lā ěr dīng
Gérard	杰拉尔	Jié lā er
Gerard	奇拉德	Qí lā dé
Gerardo	赫拉尔多	Hè lā rduō
Gerely	杰雷利	Jié léi lì
Geremy	杰勒米	Jié lè mǐ
Gérémy	杰勒米	Jié lè mǐ
Gerhard	格哈德	Gé hā dé
Germain	日尔曼	Rì ěr màn
Germaine	日尔曼	Rì ěr màn
Germán	赫尔曼	Hèr màn
Gerónimo	赫罗尼莫	Hè luó ní mò
Gersendre	日尔桑德	Rì ěr sāng dé
Gerson	盖尔孙	Gài ěr sūn
Gertrude	日尔特吕德	Rì ěr tè lǚ dé
Gertrudes	杰尔特鲁黛丝	Jié ěr tè lǔ dài sī
Gertrudis	赫特鲁迪斯	Hè tè lǔ dí sī
Gervasio	赫瓦西奥	Hè wǎ xī ào
Géssyka	杰希卡	Jié xī Kǎ
Gethin	盖亭	Gài tíng
Getulio	格图柳	Gé tú liǔ
Ghazaleh	贾萨雷	Jiǎ sà léi
Ghislaine	吉丝莲	Jí sī lián
Ghita	吉塔	Jí tǎ
Gian-Carlo	江·卡罗	Jiāng kǎ luó
Giancarlo	江卡罗	Jiāng kǎ luó
Gianni	吉安尼	Jí ān ní
Gihen	吉恩	Jí ēn
Gil	希尔	Xī r
Gilbert	吉尔伯特	Jí ěr bó té
Gilbert	吉尔贝	Jí ěr bèi
Gilberte	吉尔贝特	Jí ěr bèi té
Gilberto	吉尔贝托	Jí ěr bèi tuō
Gildas	吉勒大斯	Jí lè dà sī
Giles	吉尔斯	Jí ěr sī
Gilette	吉蕾特	Jí lěi tè
Gilles	吉勒	Jí lè
Gillian	吉利安	Jí lì ān
Gillou	吉鲁	Jí lǔ
Gilmar	吉尔马	Jí ěr Mǎ
Gilmara	吉尔马拉	Jí ěr Mǎ lā
Gilmer	吉尔梅	Jí ěr Méi
Gina	吉娜	Jí nà
Ginaldo	基纳尔多	Jī nà ěr duō
Ginés	希内斯	Xī nèi sī
Ginette	吉内特	Jí nèi té
Ginger	金蔗尔	Jīn zhè ěr
Gino	吉诺	Jí nuò
Ginova	吉诺瓦	Jí nuò wǎ
Giorgio	希奥尔希奥	Xī ào rxī ào
Giovana	玖瓦娜	Jiǔ wǎ nà
Giovanna	乔瓦娜	Qiáo wǎ nà
Giovanni	乔瓦尼	Qiáo wǎ ní
Gisela	吉塞拉	Jí sāi lā
Gisèle	吉赛尔	Jí sài ěr
Gisele	吉赛尔	Jí sài ěr
Gisell	吉赛尔	Jí sài ěr
Giselle	吉赛尔	Jí sài ěr
Gislanda	吉斯浪达	Jí sī làng dá
Gisllane	吉丝兰	Jí sī lán
Giulia	秋丽亚	Qiū lì yà
Giuliana	朱利阿纳	Zhū lì ā nà
Giuseppe	约瑟佩	Yāo sè pèi
Giza	吉萨	Jí sà
Gizela	吉泽拉	Jí Zé lā
Gizmo	吉斯莫	Jí sī mò
Gládis	古拉蒂斯	Gǔ lā dì sī
Gladys	格拉蒂丝	Gé lā dì sī
Glauce	格劳斯	Gé Láo sī
Glaucia	格劳茜娅	Gé láo xī yà
Glaucio	古劳西奥	Gǔ láo xī ào
Glauco	格劳克	Gé Láo kè
Glenford	古兰福特	Gǔ lán Fú tè
Glenn	格伦	Gé lún
Gleyce	古雷斯	Gǔ léi sī
Gloria	格洛丽亚	Gé luò lì yà
Godofredo	戈多弗雷多	Gē duō fú léi duō
Gökhan	格堪	Gé kān
Gomes	戈麦斯	Gē mài sī
Gómez	戈梅斯	Gē méi sī
Gonçal	贡萨尔	Gòng sà ěr
Gonçalo	贡萨罗	Gòng sà luó
Gonçalvo	贡萨维奥	Gòng sà wéi ào
Gonzague	贡扎格	Gòng zā gé
Gonzalo	贡萨罗	Gòng sà luó
Gopi	戈貔	Gē pí
Goran	戈兰	Gē lán
Gorann	戈兰	Gē lán
Gorete	格雷特	Gé léi tè
Goretti	戈雷迪	Gē léi dí
Gorka	戈尔卡	Gēr kǎ
Goska	果斯卡	Guǒ sī Kǎ
Goulven	古尔文	Gǔ ěr wén
Graça	格劳莎	Gé láo shā
Grace	格蕾丝	Gé lěi sī
Gracia	格拉西亚	Gé lā xī yà
Graciane	格拉西安	Gé lā xī ān
Graciano	格拉西亚诺	Gé lā xī yà nuò
Graciela	格拉谢拉	Gé lā xiè lā
Graco	格拉科	Gé lā kē
Graham	格雷厄姆	Gé léi è mǔ
Gratien	格西恩	Gé xī ēn
Grave	格拉维	Gé lā wéi
Graziella	格拉谢拉	Gé lā Xiè lā
Grażyna	格拉热娜	Gé lā rè nà
Grecia	格蕾霞	Gé lěi xiá
Grégoire	格雷古瓦	Gé léi gǔ wǎ
Gregori	古雷格里	Gǔ léi gé lǐ
Gregorio	格雷戈里奥	Gé léi gē lǐ ào
Gregory	格雷戈里	Gé léi gē lǐ
Greta	古蕾塔	Gǔ lěi tǎ
Gretchen	格蕾珍	Gé lěi Zhēn
Grzegorz	格雷戈日	Gé léi gē rì
Guadalupe	瓜达卢佩	Guā dá lú pèi
Gualter	古阿尔特	Gǔ ā ěr tè
Gualterio	瓜尔特里奥	Guā rtè lǐ ào
Guénolé	格诺雷	Gé nuò léi
Guerau	格拉尔	Gé lā ěr
Guga	古嘎	Gǔ gā
Guibord	吉鲍尔	Jí Bào ěr
Guido	吉多	Jí duō
Guifré	贵弗雷	Guì Fú léi
Guilhem	吉兰	Jí lán
Guilherme	吉尔梅	Jí ěr méi
Guiliano	吉里亚诺	Jí lǐ yà nuò
Guillaume	吉约姆	Jí yāo mǔ
Guillem	贵雷姆	Guì léi mǔ
Guillemette	吉耶梅特	Jí yē méi tè
Guillermina	吉列米娜	Jí liè mǐ nà
Guillermo	吉列尔莫	Jí lièr mò
Guillian	格林	Gé lín
Guiomar	吉奥马尔	Jí ào mǎ r
Gülümser	古卢穆塞	Gǔ Lú Mù Sāi
Gumersindo	古梅辛多	Gǔ méi xīn duō
Gunnar	古纳尔	Gǔ nà ěr
Günther	君特	Jūn tè
Gus	古斯	Gǔ sī
Gustave	古斯塔夫	Gǔ sī tǎ fū
Gustavo	古斯塔沃	Gǔ sī tǎ wò
Guy	吉	Jí
Guylaine	吉莲	Jí lián
Gwen	沽雯	Gū wén
Gwenaëlle	沽雯娜艾	Gū wén nà ài
Gwendal	古雯达尔	Gǔ wén dá ěr
Gwendoline	沽雯都琳	Gū wén dōu lín
Gwendolyn	沽雯都琳	Gū wén dōu lín
Gwenola	古维诺拉	Gǔ wéi nuò lā
Gypsy	吉普赛	Jí pǔ sài
Habiba	阿比巴	Ā bǐ Bā
Haby	阿碧	Ā bì
Hada	阿达	Ā dá
Hadrien	阿德里安	Ā dé lǐ ān
Hafida	哈菲达	Hā Fēi dá
Hafsa	哈夫萨	Hā fū sà
Haikel	海克	Hǎi kè
Haïkel	海克	Hǎi kè
Hajar	哈贾尔	Hā jiǎ ěr
Halima	铪利玛	Hā lì Mǎ
Hamady	阿马蒂	Ā mǎ dì
Hamish	汉密斯	Hàn mì sī
Hamza	哈姆扎	Hā mǔ zā
Han	Lee	亨利 Hēng lì
Hana	哈娜	Hā nà
Hanaë	哈娜伊	Hā nà Yī
Hanca	昂卡	Áng kǎ
Hanen	阿能	Ā néng
Hanife	哈妮夫	Hā nī fū
Hannah	汉娜	Hàn nà
Hannes	阿内丝	Ā nèi sī
Hanno	汉诺	Hàn nuò
Hanny	哈尼	Hā ní
Hans	汉斯	Hàn sī
Hapila	阿琵拉	Ā pí lā
Harald	阿瓦尔德	Ā wǎ ěr dé
Harchoux	阿尔舒	Ā ěr shū
Hariakhan	哈里阿肯	Hā lǐ ā kěn
Harivelo	阿利维罗	Ā lì wéi luó
Harmonie	阿尔莫尼	Ā ěr mò ní
Harmony	阿尔莫尼	Ā ěr Mò ní
Harold	阿豪德	Ā háo dé
Harrison	哈里森	Hā lǐ sēn
Harry	哈利	Hā lì
Harun	阿混	Ā hùn
Harvey	哈威	Hā wēi
Harys	哈利斯	Hā lì sī
Hasnae	哈斯娜	Hā sī nà
Hasret	阿苏雷特	Ā sū léi tè
Hassan	哈桑	Hā sāng
Hassblaide	阿斯布莱德	Ā sī Bù lái dé
Hatice	哈蒂斯	Hā dì sī
Hatim	哈蒂姆	Hā dì mǔ
Hatouma	阿图玛	Ā tú mǎ
Hawa	阿娃	Ā wá
Hayley	海莉	Hǎi lì
Haythem	哈伊塔姆	Hā Yī tǎ mǔ
Haziz	哈西斯	Hā xī sī
Heather	希瑟	Xī sè
Hector	赫克托	Hè kè tuō
Hèctor	赫克托	Hè kè tuō
Hectorine	艾克多琳	Aì kè duō lín
Hedia	海蒂娅	Hǎi dì yà
Heidi	海蒂	Hǎi dì
Heidy	海蒂	Hǎi dì
Heike	海克	Hǎi kè
Heiner	海诺尔	Hǎi nuò ěr
Heinrich	海因里希	Hǎi yīn lǐ xī
Heinz	海恩兹	Hǎi ēn zī
Heitor	埃托尔	Aī tuō ěr
Hejer	艾叶尔	Aì yè ěr
Heládio	艾拉迪奥	Aì lā dí ào
Helder	海尔德	Hǎi ěr dé
Hélder	埃德尔	Aī dé ěr
Helem	艾蕾姆	Aì lěi mǔ
Helen	海伦	Hǎi lún
Hélèna	伊莲娜	Yī lián nà
Helena	伊莲娜	Yī lián nà
Héléna	伊莲娜	Yī lián nà
Hélène	伊莲	Yī lián
Helessiaine	艾蕾仙	Aì lěi Xiān
Hélida	艾黎达	Aì lí dá
Helin	贺林	Hè lín
Hélio	挨利奥	Aī lì ào
Heliodoro	埃利奥多罗	Aī lì ào duō luó
Hella	海拉	Hǎi lā
Hellen	海伦	Hǎi lún
Helmut	赫尔穆特	Hè ěr mù tè
Helyette	伊埒特	Yī liè tè
Hendriks	亨德里克斯	Hēng dé lǐ kè sī
Henri	亨利	Hēng lì
Henrik	亨利克	Hēng lì kè
Henrique	恩里克	Ēn lǐ kè
Henriques	恩里克斯	Ēn lǐ kè sī
Henriqueta	恩丽珂塔	Ēn lì kē tǎ
Henry	亨利	Hēng lì
Henryk	恩里克	Ēn lǐ kè
Henryka	恩莉卡	Ēn lì kǎ
Herbert	赫伯特	Hè bó té
Herberto	埃尔贝托	Aī ěr bèi tuō
Heribert	赫里贝	Hè lǐ Bèi
Heriberto	埃里韦托	Aī lǐ wéi tuō
Heriyanto	埃里延托	Aī lǐ yán tuō
Hermance	艾尔芒丝	Aì ěr máng sī
Hermann	赫尔曼	Hè ěr màn
Hermenegildo	埃梅内吉尔多	Aī méi nèi jí ěr duō
Hermínia	艾尔米妮娅	Aì ěr mǐ nī yà
Herminia	艾米尼亚	Aì mǐ ní yà
Hermínio	埃米尼奥	Aī mǐ ní ào
Hernan	埃尔南	Aī rnán
Hertel	艾泰	Aì Tài
Hervé	埃尔韦	Aī ěr wéi
Hiba	伊巴	Yī Bā
Hicham	伊沙姆	Yī Shā mǔ
Hichem	伊沙姆	Yī shā mǔ
Hien	燕	Yàn
Higini	伊吉妮	Yī Jí nī
Higor	依格	Yī gé
Hilario	依拉利奥	Yī lā lì ào
Hilda	希尔达	Xī rdá
Hildegard	海德格	Hǎi dé gé
Hillary	伊拉莉	Yī lā lì
Hilona	伊罗娜	Yī luó nà
Himaya	伊玛亚	Yī Mǎ yà
Hina	伊娜	Yī nà
Hind	伊恩德	Yī ēn dé
Hingrid	因戈丽德	Yīn gē lì dé
Hipolit	依泼里特	Yī pō lǐ tè
Hipolito	依泼里托	Yī pō lǐ tuō
Hippolyte	伊波利特	Yī pò lì tè
Hoang	黄	Huáng
Holly	荷莉	Hé lì
Homer	荷马	Hé mǎ
Honorat	奥诺拉特	Aò nuò lā tè
Honoré	奥诺瑞	Aò nuò ruì
Honorine	欧诺琳	Oū nuò lín
Horacio	奥拉希奥	Aò lā xī ào
Hortense	奥尔坦斯	Aò ěr tǎn sī
Hortense	欧尔唐丝	Oū ěr táng sī
Hosam	奥萨姆	Aò sà mǔ
Hosannah	奥萨娜	Aò sà nà
Houcem	乌丝姆	Wū sī mǔ
Houcine	胡辛	Hú xīn
Houria	胡里娅	Hú lǐ yà
Houssein	乌萨因	Wū sà yīn
Howard	霍华德	Huò huā dé
Huakichan	华克蝉	Huá kè chán
Hubert	休伯特	Xiū bó té
Hubert	于贝尔	Yú bèi ěr
Hudson	哈德森	Hā dé sēn
Hug	雨歌	Yǔ gē
Hugo	雨果	Yǔ guǒ
Hugues	雨格	Yǔ gé
Huguette	于盖特	Yú gài té
Hundra	虹德拉	Hóng dé lā
Hussein	胡萨因	Hú sà yīn
Hyacinthe	亚辛特	Yà xīn tè
Iaella	雅尔拉	Yǎ ěr lā
Iain	伊恩	Yī ēn
Ian	伊恩	Yī ēn
Iana	娅娜	Yà nà
Ianis	伊安尼斯	Yī ān ní sī
iara	娅拉	Yà lā
Iban	伊邦	Yī bāng
Ibrahim	易卜拉辛	Yì bǔ lā xīn
Ida	伊达	Yī dá
Idalys	伊达丽丝	Yī dá lì sī
Idoia	伊多娅	Yī duō yà
Iesha	耶沙	Yē Shā
Ieuan	爱恩	Aì ēn
Ignacio	伊格纳西奥	Yī gé nà xī ào
Ignasi	易纳西	Yì nà xī
Igone	伊艮	Yī gěn
Igor	伊缑	Yī gōu
Iheb	伊赫布	Yī Hè Bù
Iker	伊凯尔	Yī Kǎi ěr
Ikram	依克拉姆	Yī kè lā mǔ
Ikrham	依克拉姆	Yī kè lā mǔ
Ikrima	伊克丽玛	Yī kè lì Mǎ
Ilan	伊兰	Yī lán
Ilana	依拉娜	Yī lā nà
Ildefonso	伊尔德丰索	Yī rdé fēng suǒ
Ileana	伊蕾娅娜	Yī lěi yà nà
Iléane	伊蕾安	Yī lěi ān
Ilena	伊蕾娜	Yī lěi nà
Ilenia	伊莲娜	Yī lián nà
Ilhan	伊兰	Yī lán
Ilian	伊利安	Yī lì ān
Iliana	伊里亚娜	Yī lǐ yà nà
Ilias	伊利亚斯	Yī lì yà sī
Ilona	伊罗娜	Yī luó nà
Ilouna	伊露娜	Yī Lù nà
Ilse	伊尔瑟	Yī rsè
Ilyana	伊莉娅娜	Yī lì yà nà
Ilyès	伊利亚思	Yī lì yà sī
Ilyes	伊丽艾丝	Yī lì Aì sī
ilyès	伊丽艾丝	Yī lì Aì sī
Imaine	伊曼	Yī màn
Iman	伊曼	Yī màn
Imane	伊曼	Yī màn
Imanol	伊马诺	Yī mǎ nuò
Imed	伊美德	Yī měi dé
Imène	伊门	Yī mén
Imma	伊玛	Yī mǎ
Ina	伊娜	Yī nà
Iná	伊娜	Yī nà
Inácio	纳西奥	Nà xī ào
Iñaki	因亚吉	Yīn yà jí
Inara	伊娜拉	Yī nà lā
Indalecio	因达莱西奥	Yīn dá lái xī ào
Indra	氤德拉	Yīn dé lā
Ines	伊内丝	Yī nèi sī
Inès	伊内丝	Yī nèi sī
Inês	伊内丝	Yī nèi sī
Inessa	伊内萨	Yī nèi sà
Inesse	伊内丝	Yī nèi sī
Ingrid	英格丽	Yīng gé lí
Inma	因马	Yīn mǎ
Inmaculada	伊玛库拉达	Yī Mǎ Kù lā dá
Inmaculada	伊玛科拉达	Yī Mǎ Kē lā dá
Inocencio	伊诺森西奥	Yī nuò sēn xī ào
Inocente	伊诺森特	Yī nuò sēn tè
Inola	伊诺拉	Yī nuò lā
Ioana	尤阿娜	Yóu Ā nà
Iona	爱欧娜	Aì ōu nà
Ionela	瑶内拉	Yáo nèi là
Ionna	尤娜	Yóu nà
Ira	伊拉	Yī lā
Iraia	意拉亚	Yì lā yà
Iraide	伊拉伊德	Yī lā yī dé
Iram	伊拉姆	Yī lā mǔ
Irantzu	意兰祝	Yì lán zhù
Irena	伊琳娜	Yī lín nà
Irena	伊蕾娜	Yī lěi nà
Irène	伊蕾娜	Yī lěi nà
Irene	伊琳娜	Yī lín nà
Ireneo	伊雷内奥	Yī léi nèi ào
Ireneu	伊蕾娜	Yī lěi nà
Irigoyen	伊里戈延	Yī lǐ gē yán
Irina	伊莉娜	Yī lì nà
Irina	伊琳娜	Yī lín nà
Iris	埃里斯	Aī lǐ sī
Irma	伊尔玛	Yī ěr mǎ
Irmgard	伊姆加德	Yī mǔ jiā dé
Irmi	伊尔米	Yī ěr mǐ
Isa	伊莎	Yī shā
Isaac	艾萨克	Aì sà kè
Isaac	伊萨克	Yī sà kè
Isabel	伊莎贝尔	Yī shā bèi r
Isabel	伊萨贝	Yī sà Bèi
Isabell	伊萨贝	Yī sà bèi
Isabella	伊萨贝拉	Yī sà bèi lā
Isabelle	伊萨贝	Yī sà bèi
Isaías	伊萨亚斯	Yī sà yà sī
Isha	伊莎	Yī shā
Isi	伊西	Yī xī
Isidoro	伊西多罗	Yī xī duō luó
Isidro	伊西德罗	Yī xī dé luó
Isidro	依西德罗	Yī xī dé luó
Isis	伊西丝	Yī xī sī
Isla	伊拉	Yī lā
Ismael	意斯梅尔	Yì sī méi r
Ismahane	伊斯马安	Yī sī mǎ ān
Ismail	伊斯马伊	Yī sī mǎ yī
Israel	伊斯雷尔	Yī sī léi r
Ítalo	意大罗	Yì dà luó
Itzcóatl	依瓷克	Yī cí kè
Itziar	意弛尔	Yì chí r
Iulia	友丽娅	Yǒu lì yà
Iuri	友利	Yǒu lì
Iva	伊瓦	Yī wǎ
Ivan	伊万	Yī wàn
Ivana	伊瓦纳	Yī wǎ nà
Ivanilson	伊瓦尼孙	Yī wǎ ní sūn
Ivette	伊维特	Yī wéi tè
Ivo	依沃	Yī wò
Ivone	伊温	Yī wēn
Ivonete	伊沃内特	Yī wò nèi tè
Ivonne	伊婉	Yī wǎn
Iwona	伊沃娜	Yī wò nà
Iza	伊萨	Yī sà
Izabel	伊萨贝	Yī sà Bèi
Izabela	伊萨贝拉	Yī sà bèi lā
Izbeth	伊丝贝特	Yī sī bèi tè
Iziki	依兹克	Yī zī kè
Jacek	亚茨克	Yà cí kè
Jacilane	娅茜兰	Yà xī lán
Jacinta	娅心塔	Yà xīn tǎ
Jacinte	杰辛特	Jié xīn tè
Jacinto	哈辛托	Hā xīn tuō
Jacira	亚茜拉	Yà xī lā
Jack	杰克	Jié kè
Jackie	杰克	Jié kè
Jackie	杰姬	Jié jī
Jacklyn	杰奎琳	Jié kuí lín
Jacky	杰克	Jié kè
Jaclyn	杰奎琳	Jié kuí lín
Jacob	雅各布	Yǎ gè bù
Jacobo	哈科沃	Hā kē wò
Jacqueline	杰奎琳	Jié kuí lín
Jacques	雅克	Yǎ kè
Jacquie	贾奇	Jiǎ qí
Jada	贾达	Jiǎ dá
Jade	贾德	Jiǎ dé
Jagdish	亚各迪士	Yà gè dí shì
Jäger	耶戈尔	Yē gē ěr
Jaidan	杰丹	Jié dān
Jaime	海梅	Hǎi méi
Jaína	翟娜	Zhái nà
Jairo	翟罗	Zhái luó
Jake	杰克	Jié kè
Jalhida	佳丽达	Jiā lì dá
Jaline	娅琳	Yà lín
Jalis	贾利斯	Jiǎ lì sī
Jamari	亚马里	Yà Mǎ lǐ
Jamel	贾梅尔	Jiǎ méi ěr
James	詹姆斯	Zhān mǔ sī
Jamie	杰米	Jié mǐ
Jamil	贾米尔	Jiǎ mǐ ěr
Jamilly	眨迷丽	Zhǎ mí lì
Jamilly	Starling	贾蜜莉 Jiǎ Mì lì
Jamy	杰米	Jié mǐ
Jan	雅恩	Yǎ ēn
Jana	娅娜	Yà nà
Janak	亚纳克	Yà nà kè
Janas	亚纳斯	Yà nà sī
Janay	贾娞	Jiǎ něi
Janayna	亚乃娜	Yà Nǎi nà
Jander	岩德	Yán dé
Jane	简	Jiǎn
Janelle	贾内	Jiǎ nèi
Janet	贾内特	Jiǎ nèi tè
Jani	杰妮	Jié nī
Janic	贾尼克	Jiǎ ní kè
Janice	詹妮丝	Zhān nī sī
Janick	贾尼克	Jiǎ ní kè
Janika	贾妮卡	Jiǎ nī Kǎ
Janina	雅妮娜	Yǎ nī nà
Janine	亚尼内	Yà ní nèi
Jânio	贾尼奥	Jiǎ ní ào
Janne	贾娜	Jiǎ nà
Janne	亚纳	Yà nà
Jannick	贾尼克	Jiǎ ní kè
Jannik	雅尼克	Yǎ ní kè
Janny	贾妮	Jiǎ nī
Jany	贾妮	Jiǎ nī
Janyah	贾妮娅	Jiǎ nī yà
Jaorish	让利士	Ràng lì shì
Jaqueline	杰克琳	Jié kè lín
Jaquie	贾奇	Jiǎ qí
Jared	亚雷德	Yà léi dé
Jarno	贾尔诺	Jiǎ ěr nuò
Jarod	贾罗德	Jiǎ luó dé
Jarosław	亚洛斯拉夫	Yà luò sī lā fū
Jasmin	亚斯敏	Yà sī mǐn
Jasmine	詹斯敏	Zhān sī mǐn
Jason	杰森	Jié sēn
Jaume	豪梅	Háo méi
Javi	哈韦	Hā wéi
Javier	哈韦尔	Hā wéi r
Javiera	哈韦拉	Hā wéi lā
Jawaad	贾华德	Jiǎ Huá dé
Jawad	贾瓦德	Jiǎ wǎ dé
Jayesh	雅耶斯	Yǎ yē sī
Jayme	杰米	Jié mǐ
Jayron	杰龙	Jié lóng
Jayson	杰森	Jié sēn
Jazmin	豪斯民	Háo sī mín
Jean	让	Ràng
Jean-Baptiste	让·巴蒂斯特	Ràng bā dì sī té
Jean-Brice	让布利斯	Ràng Bù lì sī
Jean-Claude	让·克劳德	Ràng kè láo dé
Jean-François	让·弗朗索瓦	Ràng fú lǎng suǒ wǎ
Jean-Jacques	让·雅克	Ràng yǎ kè
Jean-Louis	让·路易	Ràng lù yì
Jean-Loup	让·卢	Ràng lú
Jean-Luc	让·吕克	Ràng lǚ kè
Jean-Marc	让·马克	Rngmk
Jean-Marie	让·玛丽	Ràng mǎ lì
Jean-Michel	让·米歇尔	Rangmǐ xiē er
Jean-Paul	让·保尔	Ràng bǎo ěr
Jean-Philippe	让·菲力浦	Ràng fēi lì pǔ
Jean-Pierre	让·皮埃尔	Ràng pí āi er
Jean-Sébastien	让·塞巴斯蒂安	Ràng sài bā sī dì ān
Jean-Yves	让·伊夫	Ràng yī fū
Jeanette	珍妮特	Zhēn nī té
Jeanine	杰宁	Jié nín
Jeanne	让娜	Ràng nà
Jeannine	杰宁	Jié nín
Jeannot	雅诺	Yǎ nuò
Jeferson	杰弗森	Jié Fú sēn
Jeff	杰夫	Jié fū
Jefferson	杰斐逊	Jié fěi xùn
Jeffrey	杰佛瑞	Jié fó ruì
Jeimmy	黑米	Hēi mǐ
Jelves	赫尔维斯	Hè ěr wéi sī
Jemima	杰米玛	Jié mǐ Mǎ
Jenifer	赫尼费尔	Hè ní fèi r
Jenna	珍娜	Zhēn nà
Jenni	珍妮	Zhēn nī
Jennifer	珍尼弗	Zhēn ní fú
Jenny	珍妮	Zhēn ní
Jennyfer	珍尼费尔	Zhēn ní Fèi ěr
Jens	岩寺	Yán sì
Jérémie	杰勒米	Jié lè mǐ
Jeremy	杰瑞米	Jié ruì mǐ
Jerime	杰里姆	Jié lǐ mǔ
Jérome	杰罗姆	Jié luō mǔ
Jerome	杰罗姆	Jié luō mǔ
Jéromine	杰罗敏	Jié luó mǐn
Jeroni	杰罗尼	Jié luó ní
Jerónimo	赫罗尼莫	Hè luó ní mò
Jerrit	杰里特	Jié lǐ tè
Jerrod	杰罗德	Jié luó dé
Jerry	杰里	Jié lǐ
Jesenia	耶瑟妮娅	Yē sè nī yà
Jeshua	约书亚	Yāo shū yà
Jess	杰斯	Jié sī
Jesse	杰西	Jié xī
Jessé	杰斯	Jié sī
Jessica	杰西卡	Jié xī kǎ
Jessie	杰西	Jié xī
Jessily	杰西莉	Jié xī lì
Jessy	杰西	Jié xī
Jessyca	杰西卡	Jié xī kǎ
Jésus	耶稣	Yē sū
Jesus	耶稣	Yē sū
Jesusa	赫苏萨	Hè sū sà
Jetmir	杰特米尔	Jié tè mǐ ěr
Jhevelyn	杰维林	Jié wéi lín
Jhonder	勇德	Yǒng dé
Jiandra	吉昂德拉	Jí áng dé lā
Jihane	吉安	Jí ān
Jill	吉尔	Jí ěr
Jilly	吉利	Jí lì
Jim	吉姆	Jí mǔ
Jimena	希梅纳	Xī méi nà
Jimi	吉米	Jí mǐ
Jimmy	吉米	Jí mǐ
Jinny	吉妮	Jí nī
Joachim	约阿希姆	Yāo ā xī mǔ
Joan	琼	Qióng
Joan	优安	Yōu ān
Joana	尤阿娜	Yóu ā nà
Joana	优安娜	Yōu ān nà
Joanarosa	朱安娜罗萨	Zhū ān nà luó sà
Joanie	乔安妮	Qiáo ān nī
Joanna	乔安娜	Qiáo ān nà
Joanna	尤阿娜	Yóu ā nà
Joanne	乔安	Qiáo ān
Joao	若奥	Ruò ào
João	尤安	Yóu ān
Joaquim	若阿金	Ruò ā jīn
Joaquín	华金	Huá jīn
Joaquina	周阿吉娜	Zhōu Ā Jí nà
Joberdan	周贝尔丹	Zhōu Bèi ěr Dān
Jocelin	乔斯林	Qiáo sī lín
Jocelyn	乔斯林	Qiáo sī lín
Jocelyne	乔斯林	Qiāo sī lín
Jocelyns	尤斯林	Yóu sī lín
Jodie	朱迪	Zhū dí
Jodilyn	友蒂琳	Yǒu dì lín
Jodson	朱德森	Zhū dé sēn
Jody	朱迪	Zhū dí
Joe	乔	Qiáo
Joé	乔	Qiáo
Joel	乔尔	Qiáo ěr
Joël	乔尔	Qiáo ěr
Joelen	朱艾琳	Zhū Aì lín
Joelle	饶爱乐	Ráo ài lè
Joey	乔伊	Qiáo yī
Joffrey	乔弗瑞	Qiáo fú ruì
Johailah	乔海拉	Qiáo Hǎi lā
Johan	约翰	Yuē hàn
Johana	约翰娜	Yāo hàn nà
Johanie	乔安妮	Qiáo ān nī
Johann	乔安	Qiáo ān
Johanna	约翰娜	Yāo hàn nà
Johanna	约安娜	Yāo ān nà
Johanne	乔安	Qiáo ān
Johara	乔阿哈	Qiáo ā hā
John	约翰	Yāo hàn
Johnny	强尼	Qiáng ní
Jojo	舟舟	Zhōu zhōu
Jolanta	尤兰塔	Yóu lán tǎ
Jolène	若莲	Ruò lián
Joliane	乔丽安	Qiáo lí ān
Jolianne	乔丽安	Qiáo lí ān
Jonas	乔纳斯	Qiáo nà sī
Jonathan	乔纳森	Qiáo nà sēn
Jonathan	乔纳唐	Qiáo nà táng
Jonquil	黄水仙	Huáng shuǐ Xiān
Jony	周尼	Zhōu ní
Jordan	乔丹	Qiáo dān
Jordana	乔丹娜	Qiáo Dān nà
Jordane	乔丹	Qiáo dān
Jordi	霍尔蒂	Huò rdì
Jörg	周尔各	Zhōu ěr gè
Jorge	豪尔赫	Háo rhè
Joris	乔里斯	Qiáo lǐ sī
Joris	尤里斯	Yóu lǐ sī
Jörn	友尔恩	Yǒu ěr ēn
José	若瑟	Ruò sè
José	尤塞	Yóu sāi
Josée	若瑟	Ruò sè
Josefa	何塞法	Hé sài fǎ
Josefina	何塞菲娜	Hé sài fēi nà
Josep	优斯普	Yōu sī Pǔ
Josepa	优斯葩	Yōu sī pā
Joseph	约瑟夫	Yuē sè fū
Josephine	约瑟芬	Yáo sè fēn
Joséphine	约瑟芬	Yáo sè fēn
Josette	乔塞特	Qiáo sāi té
