# Sources of data:
#
# * Frequency and Stroke Counts of Chinese Characters
#   http://technology.chtsai.org/charfreq/
#
# - Mandarin Syllable Frequency Counts for Chinese Characters
#   http://technology.chtsai.org/syllable/
#
# Both are put under GPL by Chih-Hao Tsai.
#
# char	rank	pinyin
#
蓋	1086	gai4
末	1087	mo4
察	1088	cha2
抗	1089	kang4
揮	1090	hui1
乖	1091	guai1
積	1092	ji1
插	1093	cha1
驚	1094	jing1
蔡	1095	cai4
忠	1096	zhong1
愈	1097	yu4
雪	1098	xue3
巨	1099	ju4
碩	1100	shuo4
瑞	1101	rui4
凡	1102	fan2
朱	1103	zhu1
籃	1104	lan2
丟	1105	diu1
盤	1106	pan2
偶	1107	ou3
港	1108	gang3
宮	1109	gong1
帥	1110	shuai4
宏	1111	hong2
雅	1112	ya3
貨	1113	huo4
醒	1114	xing3
虛	1115	xu1
遺	1116	yi2
掛	1117	gua4
透	1118	tou4
爆	1119	bao4
烈	1120	lie4
滅	1121	mie4
材	1122	cai2
拍	1123	pai1
休	1124	xiu1
誌	1125	zhi4
圓	1126	yuan2
銀	1127	yin2
飯	1128	fan4
互	1129	hu4
掌	1130	zhang3
豪	1131	hao2
替	1132	ti4
挑	1133	tiao1
頂	1134	ding3
熊	1135	xiong2
累	1136	lei3
址	1137	zhi3
健	1138	jian4
俠	1139	xia2
雞	1140	ji1
困	1141	kun4
諾	1142	nuo4
輔	1143	fu3
伴	1144	ban4
玉	1145	yu4
洗	1146	xi3
敏	1147	min3
臨	1148	lin2
街	1149	jie1
降	1150	jiang4
唸	1151	nian4
憐	1152	lian2
蘇	1153	su1
米	1154	mi3
減	1155	jian3
操	1156	cao1
瘋	1157	feng1
辛	1158	xin1
宇	1159	yu3
聚	1160	ju4
兮	1161	xi1
採	1162	cai3
彼	1163	bi3
屆	1164	jie4
尼	1165	ni2
輩	1166	bei4
藥	1167	yao4
騙	1168	pian4
綠	1169	lv4
童	1170	tong2
縮	1171	suo1
符	1172	fu2
獲	1173	huo4
默	1174	mo4
郎	1175	lang2
碰	1176	peng4
禁	1177	jin4
婆	1178	po2
咧	1179	lie3
股	1180	gu3
抽	1181	chou1
砍	1182	kan3
恨	1183	hen4
肯	1184	ken3
刊	1185	kan1
泡	1186	pao4
漸	1187	jian4
鋼	1188	gang1
